646	1634	
647	1641	
648	1635	
649	1638	
650	1636	
651	1641	
652	1635	
653	1635	
654	1642	
655	1638	
656	1641	
657	1638	
658	1637	
659	1641	
660	1635	
661	1637	
662	1637	
663	1638	
664	1638	
665	1639	
666	1639	
667	1635	
668	1640	
669	1638	
670	1638	
671	1635	
672	1636	
673	1636	
674	1641	
675	1638	
676	1639	
677	1637	
678	1638	
679	1636	
680	1640	
681	1637	
682	1634	
683	1638	
684	1636	
685	1637	
686	1637	
687	1638	
688	1637	
689	1641	
690	1636	
691	1637	
692	1639	
693	1634	
694	1643	
695	1639	
696	1637	
697	1642	
698	1641	
699	1636	
700	1638	
701	1637	
702	1642	
703	1636	
704	1642	
705	1638	
706	1637	
707	1637	
708	1641	
709	1642	
710	1638	
711	1637	
712	1636	
713	1641	
714	1631	
715	1638	
716	1639	
717	1637	
718	1638	
719	1637	
720	1637	
721	1641	
722	1639	
723	1637	
724	1638	
725	1636	
726	1639	
727	1640	
728	1636	
729	1637	
730	1639	
731	1639	
732	1636	
733	1641	
734	1643	
735	1637	
736	1639	
737	1637	
738	1637	
739	1637	
740	1640	
741	1634	
742	1641	
743	1639	
744	1638	
745	1640	
746	1637	
747	1636	
748	1640	
749	1638	
750	1638	
751	1638	
752	1639	
753	1640	
754	1638	
755	1633	
756	1641	
757	1638	
758	1639	
759	1635	
760	1640	
761	1636	
762	1639	
763	1642	
764	1636	
765	1639	
766	1641	
767	1636	
768	1637	
769	1641	
770	1635	
771	1642	
772	1639	
773	1638	
774	1644	
775	1637	
776	1638	
777	1639	
778	1637	
779	1635	
780	1640	
781	1639	
782	1636	
783	1635	
784	1633	
785	1640	
786	1640	
787	1638	
788	1640	
789	1642	
790	1640	
791	1637	
792	1641	
793	1635	
794	1635	
795	1635	
796	1641	
797	1637	
798	1639	
799	1636	
800	1638	
801	1638	
802	1637	
803	1635	
804	1640	
805	1641	
806	1635	
807	1637	
808	1637	
809	1641	
810	1637	
811	1638	
812	1635	
813	1639	
814	1643	
815	1638	
816	1635	
817	1638	
818	1643	
819	1639	
820	1640	
821	1637	
822	1636	
823	1642	
824	1638	
825	1636	
826	1643	
827	1635	
828	1642	
829	1638	
830	1641	
831	1637	
832	1641	
833	1637	
834	1638	
835	1635	
836	1637	
837	1635	
838	1639	
839	1635	
840	1641	
841	1641	
842	1635	
843	1642	
844	1637	
845	1641	
846	1643	
847	1636	
848	1635	
849	1645	
850	1640	
851	1638	
852	1638	
853	1635	
854	1642	
855	1633	
856	1637	
857	1638	
858	1640	
859	1637	
860	1642	
861	1635	
862	1641	
863	1639	
864	1641	
865	1635	
866	1642	
867	1635	
868	1641	
869	1640	
870	1641	
871	1636	
872	1640	
873	1639	
874	1638	
875	1636	
876	1635	
877	1633	
878	1644	
879	1634	
880	1641	
881	1638	
882	1636	
883	1639	
884	1640	
885	1639	
886	1637	
887	1639	
888	1637	
889	1639	
890	1634	
891	1637	
892	1641	
893	1637	
894	1643	
895	1635	
896	1641	
897	1635	
898	1643	
899	1635	
900	1642	
901	1639	
902	1638	
903	1638	
904	1638	
905	1634	
906	1640	
907	1640	
908	1640	
909	1637	
910	1643	
911	1635	
912	1642	
913	1641	
914	1641	
915	1635	
916	1637	
917	1640	
918	1635	
919	1639	
920	1643	
921	1637	
922	1635	
923	1641	
924	1638	
925	1637	
926	1639	
927	1639	
928	1635	
929	1641	
930	1642	
931	1638	
932	1637	
933	1628	
934	1644	
935	1634	
936	1637	
937	1635	
938	1641	
939	1639	
940	1644	
941	1636	
942	1636	
943	1635	
944	1638	
945	1639	
946	1637	
947	1637	
948	1637	
949	1638	
950	1639	
951	1639	
952	1636	
953	1643	
954	1636	
955	1635	
956	1639	
957	1637	
958	1639	
959	1637	
960	1645	
961	1638	
962	1638	
963	1636	
964	1638	
965	1636	
966	1638	
967	1635	
968	1639	
969	1639	
970	1635	
971	1637	
972	1635	
973	1635	
974	1639	
975	1635	
976	1638	
977	1636	
978	1637	
979	1635	
980	1639	
981	1636	
982	1641	
983	1637	
984	1640	
985	1638	
986	1641	
987	1638	
988	1642	
989	1635	
990	1636	
991	1635	
992	1636	
993	1639	
994	1637	
995	1636	
996	1638	
997	1637	
998	1639	
999	1635	
1000	1636	
1001	1636	
1002	1638	
1003	1637	
1004	1640	
1005	1634	
1006	1637	
1007	1638	
1008	1640	
1009	1635	
1010	1638	
1011	1638	
1012	1637	
1013	1638	
1014	1646	
1015	1637	
1016	1639	
1017	1636	
1018	1639	
1019	1643	
1020	1642	
1021	1635	
1022	1640	
1023	1639	
1024	1639	
1025	1638	
1026	1642	
1027	1638	
1028	1640	
1029	1637	
1030	
1031	
